officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude,latitude,longitude
Kerali B.O,363655,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Jodia,Jamnagar,GUJARAT,NA,Amran S.O,Jamnagar H.O,70.5616062,22.8294884,22.8294884,70.5616062
Keshiya B.O,361250,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Jodia,Jamnagar,GUJARAT,NA,Jodia S.O,Jamnagar H.O,70.32101513333333,22.682387833333333,22.682387833333333,70.32101513333333
Keshod B.O,361306,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Khambhalia,Jamnagar,GUJARAT,NA,Bhadthar S.O,Jamnagar H.O,69.59681508888889,22.066737155555554,22.066737155555554,69.59681508888889
Khadba B.O,361170,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Lalpur,Jamnagar,GUJARAT,NA,Lalpur S.O (Jamnagar),Jamnagar H.O,69.963963,22.1915377,22.1915377,69.963963
Khadkhambhalia B.O,361012,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Jamnagar,Jamnagar,GUJARAT,NA,Chela S.O,Jamnagar H.O,118.09927763333333,24.487384366666667,24.487384366666667,118.09927763333333
Khambhalia Gate S.O,361001,S.O,Non-Delivery,Jamnagar,Rajkot,Gujarat,Kalavad,Jamnagar,GUJARAT,0288-2675063,NA,Jamnagar H.O,118.0722603,24.4539575,24.4539575,118.0722603
Khambhalia S.O,361305,S.O,Delivery,Jamnagar,Rajkot,Gujarat,Kalavad,Jamnagar,GUJARAT,02833-234745,NA,Jamnagar H.O,69.65298653414635,22.20519549512195,22.20519549512195,69.65298653414635
Khambhalida Motavas B.O,361210,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Dhrol,Jamnagar,GUJARAT,NA,Dhrol S.O,Jamnagar H.O,70.41547719,22.56701067,22.56701067,70.41547719
Khandhera S.O,361013,S.O,Delivery,Jamnagar,Rajkot,Gujarat,Jamnagar,Jamnagar,GUJARAT,02894-272430,NA,Jamnagar H.O,44.1815573,43.899697,43.899697,44.1815573
Khankharda B.O,361315,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Kalyanpur,Jamnagar,GUJARAT,NA,Bhatia S.O,Jamnagar H.O,69.27512252666666,22.03414318,22.03414318,69.27512252666666
Khankotda B.O,361013,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Kalavad,Jamnagar,GUJARAT,NA,Khandhera S.O,Jamnagar H.O,44.1815573,43.899697,43.899697,44.1815573
Kharachia B.O,363655,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Jodia,Jamnagar,GUJARAT,NA,Amran S.O,Jamnagar H.O,70.5616062,22.8294884,22.8294884,70.5616062
Kharedi S.O,360540,S.O,Delivery,Jamnagar,Rajkot,Gujarat,Okhamandal,Jamnagar,GUJARAT,02894-265020,NA,Jamnagar H.O,70.4807159,22.0704164,22.0704164,70.4807159
Kharva B.O,361210,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Dhrol,Jamnagar,GUJARAT,NA,Dhrol S.O,Jamnagar H.O,70.41547719,22.56701067,22.56701067,70.41547719
Khatumba B.O,361335,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Okhamandal,Jamnagar,GUJARAT,NA,Dwarka S.O,Jamnagar H.O,68.96816307894737,22.244392505263157,22.244392505263157,68.96816307894737
Khijadia B.O,361120,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Jamnagar,Jamnagar,GUJARAT,NA,Dhuvav S.O,Jamnagar H.O,70.19161163333334,22.491004066666665,22.491004066666665,70.19161163333334
Khijdad B.O,361320,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Jamkalyanpur,Jamnagar,GUJARAT,NA,Jamkalyanpur S.O,Jamnagar H.O,69.42620502000001,22.07029074,22.07029074,69.42620502000001
Khilosh B.O,361130,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Jamnagar,Jamnagar,GUJARAT,NA,Jamwanthali S.O,Jamnagar H.O,70.336018,22.38531845,22.38531845,70.336018
Khimrana B.O,361120,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Jamnagar,Jamnagar,GUJARAT,NA,Dhuvav S.O,Jamnagar H.O,70.19161163333334,22.491004066666665,22.491004066666665,70.19161163333334
Khirasara B.O,361170,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Lalpur,Jamnagar,GUJARAT,NA,Lalpur S.O (Jamnagar),Jamnagar H.O,69.963963,22.1915377,22.1915377,69.963963
Khirasara B.O,361325,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Jamkalyanpur,Jamnagar,GUJARAT,NA,Raval S.O,Jamnagar H.O,69.49223486666666,21.923730366666664,21.923730366666664,69.49223486666666
Khodiyar Colony S.O,361006,S.O,Delivery,Jamnagar,Rajkot,Gujarat,Kalavad,Jamnagar,GUJARAT,0288-2712998,NA,Jamnagar H.O,70.03927083809523,22.454401119047617,22.454401119047617,70.03927083809523
Khojaberaja B.O,361012,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Jamnagar,Jamnagar,GUJARAT,NA,Chela S.O,Jamnagar H.O,118.09927763333333,24.487384366666667,24.487384366666667,118.09927763333333
Kolva B.O,361306,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Khambhalia,Jamnagar,GUJARAT,NA,Bhadthar S.O,Jamnagar H.O,69.59681508888889,22.066737155555554,22.066737155555554,69.59681508888889
Kotdabavisi B.O,360530,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Jamjodhpur,Jamnagar,GUJARAT,NA,Jamjodhpur S.O,Jamnagar H.O,70.03180655,21.8998151,21.8998151,70.03180655
Kotha Bhadukia B.O,361162,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Kalavad,Jamnagar,GUJARAT,NA,Nikava S.O,Jamnagar H.O,70.50451875,22.2003008,22.2003008,70.50451875
Kotharia B.O,363655,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Jodia,Jamnagar,GUJARAT,NA,Amran S.O,Jamnagar H.O,70.5616062,22.8294884,22.8294884,70.5616062
Koyli B.O,361220,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Dhrol,Jamnagar,GUJARAT,NA,Latipur S.O,Jamnagar H.O,44.0926551,43.6157546,43.6157546,44.0926551
Kunad B.O,361250,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Jodia,Jamnagar,GUJARAT,NA,Jodia S.O,Jamnagar H.O,70.32101513333333,22.682387833333333,22.682387833333333,70.32101513333333
Kuranga B.O,361335,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Okhamandal,Jamnagar,GUJARAT,NA,Dwarka S.O,Jamnagar H.O,68.96816307894737,22.244392505263157,22.244392505263157,68.96816307894737
Laiyala B.O,361210,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Dhrol,Jamnagar,GUJARAT,NA,Dhrol S.O,Jamnagar H.O,70.41547719,22.56701067,22.56701067,70.41547719
Lakhabavad B.O,361006,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Jamnagar,Jamnagar,GUJARAT,NA,Khodiyar Colony S.O,Jamnagar H.O,70.03927083809523,22.454401119047617,22.454401119047617,70.03927083809523
Lakhtar B.O,361250,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Jodia,Jamnagar,GUJARAT,NA,Jodia S.O,Jamnagar H.O,70.32101513333333,22.682387833333333,22.682387833333333,70.32101513333333
Lal Bunglow S.O,361001,S.O,Non-Delivery,Jamnagar,Rajkot,Gujarat,Kalavad,Jamnagar,GUJARAT,0288-2675080,NA,Jamnagar H.O,118.0722603,24.4539575,24.4539575,118.0722603
Laloi B.O,361013,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Kalavad,Jamnagar,GUJARAT,NA,Khandhera S.O,Jamnagar H.O,44.1815573,43.899697,43.899697,44.1815573
Lalparda B.O,361306,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Khambhalia,Jamnagar,GUJARAT,NA,Bhadthar S.O,Jamnagar H.O,69.59681508888889,22.066737155555554,22.066737155555554,69.59681508888889
Lalpur S.O (Jamnagar),361170,S.O,Delivery,Jamnagar,Rajkot,Gujarat,Lalpur,Jamnagar,GUJARAT,02895-272022,NA,Jamnagar H.O,69.963963,22.1915377,22.1915377,69.963963
Lamba B.O,361315,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Kalyanpur,Jamnagar,GUJARAT,NA,Bhatia S.O,Jamnagar H.O,69.27512252666666,22.03414318,22.03414318,69.27512252666666
Latipur S.O,361220,S.O,Delivery,Jamnagar,Rajkot,Gujarat,Khambhalia,Jamnagar,GUJARAT,02897-282230,NA,Jamnagar H.O,44.0926551,43.6157546,43.6157546,44.0926551
Lavadia B.O,361012,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Jamnagar,Jamnagar,GUJARAT,NA,Chela S.O,Jamnagar H.O,118.09927763333333,24.487384366666667,24.487384366666667,118.09927763333333
Limbuda B.O,361011,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Jodia,Jamnagar,GUJARAT,NA,Hadiana S.O,Jamnagar H.O,120.57980872199606,14.459897000000002,14.459897000000002,120.57980872199606
Machharda B.O,361160,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Kalavad,Jamnagar,GUJARAT,NA,Kalavad S.O,Jamnagar H.O,70.36451397142858,22.2371925,22.2371925,70.36451397142858
Machhlivad B.O,361160,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Kalavad,Jamnagar,GUJARAT,NA,Kalavad S.O,Jamnagar H.O,70.36451397142858,22.2371925,22.2371925,70.36451397142858
Madhapar B.O,361240,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Jodia,Jamnagar,GUJARAT,NA,Balambha S.O,Jamnagar H.O,NA,NA,NA,NA
Mahadevia B.O,361315,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Kalyanpur,Jamnagar,GUJARAT,NA,Bhatia S.O,Jamnagar H.O,69.27512252666666,22.03414318,22.03414318,69.27512252666666
Mahiki B.O,360530,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Jamjodhpur,Jamnagar,GUJARAT,NA,Jamjodhpur S.O,Jamnagar H.O,70.03180655,21.8998151,21.8998151,70.03180655
Majoth B.O,361210,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Dhrol,Jamnagar,GUJARAT,NA,Dhrol S.O,Jamnagar H.O,70.41547719,22.56701067,22.56701067,70.41547719
Makhakarod B.O,360540,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Kalavad,Jamnagar,GUJARAT,NA,Kharedi S.O,Jamnagar H.O,70.4807159,22.0704164,22.0704164,70.4807159
Makrani Sanosara B.O,361160,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Kalavad,Jamnagar,GUJARAT,NA,Kalavad S.O,Jamnagar H.O,70.36451397142858,22.2371925,22.2371925,70.36451397142858
Maleta B.O,361320,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Jamkalyanpur,Jamnagar,GUJARAT,NA,Jamkalyanpur S.O,Jamnagar H.O,69.42620502000001,22.07029074,22.07029074,69.42620502000001
Manamora B.O,363655,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Jodia,Jamnagar,GUJARAT,NA,Amran S.O,Jamnagar H.O,70.5616062,22.8294884,22.8294884,70.5616062
Mandvi Chowk S.O,361001,S.O,Non-Delivery,Jamnagar,Rajkot,Gujarat,Kalavad,Jamnagar,GUJARAT,0288-2675007,NA,Jamnagar H.O,118.0722603,24.4539575,24.4539575,118.0722603
Manekpur B.O,361210,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Dhrol,Jamnagar,GUJARAT,NA,Dhrol S.O,Jamnagar H.O,70.41547719,22.56701067,22.56701067,70.41547719
Manpar B.O,360515,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Bhanvad,Jamnagar,GUJARAT,NA,Verad S.O,Jamnagar H.O,69.9150849,21.9509284,21.9509284,69.9150849
Masitia B.O,361006,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Jamnagar,Jamnagar,GUJARAT,NA,Khodiyar Colony S.O,Jamnagar H.O,70.03927083809523,22.454401119047617,22.454401119047617,70.03927083809523
Matva B.O,361013,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Kalavad,Jamnagar,GUJARAT,NA,Khandhera S.O,Jamnagar H.O,44.1815573,43.899697,43.899697,44.1815573
Mavnagam B.O,363655,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Jodia,Jamnagar,GUJARAT,NA,Amran S.O,Jamnagar H.O,70.5616062,22.8294884,22.8294884,70.5616062
Medical Campus S.O,361008,S.O,Non-Delivery,Jamnagar,Rajkot,Gujarat,Jamnagar,Jamnagar,GUJARAT,0288-2541093,NA,Jamnagar H.O,118.17681508125,24.46485268125,24.46485268125,118.17681508125
Meghpar Titodi B.O,361305,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Khambhalia,Jamnagar,GUJARAT,NA,Khambhalia S.O,Jamnagar H.O,69.65298653414635,22.20519549512195,22.20519549512195,69.65298653414635
Meghpur B.O,361220,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Dhrol,Jamnagar,GUJARAT,NA,Latipur S.O,Jamnagar H.O,44.0926551,43.6157546,43.6157546,44.0926551
Memana B.O,361170,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Lalpur,Jamnagar,GUJARAT,NA,Lalpur S.O (Jamnagar),Jamnagar H.O,69.963963,22.1915377,22.1915377,69.963963
Mevasa B.O,361315,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Kalyanpur,Jamnagar,GUJARAT,NA,Bhatia S.O,Jamnagar H.O,69.27512252666666,22.03414318,22.03414318,69.27512252666666
Mevasa B.O,360510,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Bhanvad,Jamnagar,GUJARAT,NA,Bhanvad S.O,Jamnagar H.O,69.76170183333333,21.929613386666666,21.929613386666666,69.76170183333333
Mithapur S.O (Jamnagar),361345,S.O,Delivery,Jamnagar,Rajkot,Gujarat,Okhamandal,Jamnagar,GUJARAT,02892-223306,NA,Jamnagar H.O,69.03100532857142,22.406823057142855,22.406823057142855,69.03100532857142
Moda B.O,361110,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Jamnagar,Jamnagar,GUJARAT,NA,Aliabada S.O,Jamnagar H.O,70.2158776,22.4505714,22.4505714,70.2158776
Modpar (Matva) B.O,361013,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Kalavad,Jamnagar,GUJARAT,NA,Khandhera S.O,Jamnagar H.O,44.1815573,43.899697,43.899697,44.1815573
Modpar B.O,361280,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Lalpur,Jamnagar,GUJARAT,NA,Kanalush S.O,Jamnagar H.O,69.81930615,22.34465885,22.34465885,69.81930615
Modpar B.O,360531,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Jamjodhpur,Jamnagar,GUJARAT,NA,Vansjalia S.O,Jamnagar H.O,69.8722902,21.7988636,21.7988636,69.8722902
Mojap B.O,361345,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Okhamandal,Jamnagar,GUJARAT,NA,Mithapur S.O (Jamnagar),Jamnagar H.O,69.03100532857142,22.406823057142855,22.406823057142855,69.03100532857142
Moridad B.O,360540,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Kalavad,Jamnagar,GUJARAT,NA,Kharedi S.O,Jamnagar H.O,70.4807159,22.0704164,22.0704164,70.4807159
Morkanda B.O,361120,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Jamnagar,Jamnagar,GUJARAT,NA,Dhuvav S.O,Jamnagar H.O,70.19161163333334,22.491004066666665,22.491004066666665,70.19161163333334
Morzar B.O,360510,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Bhanvad,Jamnagar,GUJARAT,NA,Bhanvad S.O,Jamnagar H.O,69.76170183333333,21.929613386666666,21.929613386666666,69.76170183333333
Mota Bharudiya B.O,361170,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Lalpur,Jamnagar,GUJARAT,NA,Lalpur S.O (Jamnagar),Jamnagar H.O,69.963963,22.1915377,22.1915377,69.963963
Mota Itala B.O,361210,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Dhrol,Jamnagar,GUJARAT,NA,Dhrol S.O,Jamnagar H.O,70.41547719,22.56701067,22.56701067,70.41547719
Mota Thavaria B.O,361110,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Jamnagar,Jamnagar,GUJARAT,NA,Aliabada S.O,Jamnagar H.O,70.2158776,22.4505714,22.4505714,70.2158776
Mota Vagudad B.O,361210,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Dhrol,Jamnagar,GUJARAT,NA,Dhrol S.O,Jamnagar H.O,70.41547719,22.56701067,22.56701067,70.41547719
Motakalavad B.O,360515,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Bhanvad,Jamnagar,GUJARAT,NA,Verad S.O,Jamnagar H.O,69.9150849,21.9509284,21.9509284,69.9150849
Motamandha B.O,361010,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Khambhalia,Jamnagar,GUJARAT,NA,Vadinar S.O,Jamnagar H.O,69.7383883,22.38736105,22.38736105,69.7383883
Motavadia B.O,360515,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Bhanvad,Jamnagar,GUJARAT,NA,Verad S.O,Jamnagar H.O,69.9150849,21.9509284,21.9509284,69.9150849
Moti Khavdi B.O,361140,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Jamnagar,Jamnagar,GUJARAT,NA,Digvijaygram S.O,Jamnagar H.O,69.8359116,22.42731115,22.42731115,69.8359116
Moti Khokhari B.O,361306,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Khambhalia,Jamnagar,GUJARAT,NA,Bhadthar S.O,Jamnagar H.O,69.59681508888889,22.066737155555554,22.066737155555554,69.59681508888889
Motibhalsan B.O,361012,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Jamnagar,Jamnagar,GUJARAT,NA,Chela S.O,Jamnagar H.O,118.09927763333333,24.487384366666667,24.487384366666667,118.09927763333333
Motigop B.O,360515,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Bhanvad,Jamnagar,GUJARAT,NA,Verad S.O,Jamnagar H.O,69.9150849,21.9509284,21.9509284,69.9150849
Motimatli B.O,361013,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Kalavad,Jamnagar,GUJARAT,NA,Khandhera S.O,Jamnagar H.O,44.1815573,43.899697,43.899697,44.1815573
Motivavdi B.O,361160,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Kalavad,Jamnagar,GUJARAT,NA,Kalavad S.O,Jamnagar H.O,70.36451397142858,22.2371925,22.2371925,70.36451397142858
Movan B.O,361305,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Khambhalia,Jamnagar,GUJARAT,NA,Khambhalia S.O,Jamnagar H.O,69.65298653414635,22.20519549512195,22.20519549512195,69.65298653414635
Mulila B.O,361160,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Kalavad,Jamnagar,GUJARAT,NA,Kalavad S.O,Jamnagar H.O,70.36451397142858,22.2371925,22.2371925,70.36451397142858
Nagadia B.O,361325,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Jamkalyanpur,Jamnagar,GUJARAT,NA,Raval S.O,Jamnagar H.O,69.49223486666666,21.923730366666664,21.923730366666664,69.49223486666666
Nagpur B.O,361013,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Kalavad,Jamnagar,GUJARAT,NA,Khandhera S.O,Jamnagar H.O,44.1815573,43.899697,43.899697,44.1815573
Nana Vadala B.O,360540,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Kalavad,Jamnagar,GUJARAT,NA,Kharedi S.O,Jamnagar H.O,70.4807159,22.0704164,22.0704164,70.4807159
Nanabhavda B.O,361335,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Okhamandal,Jamnagar,GUJARAT,NA,Dwarka S.O,Jamnagar H.O,68.96816307894737,22.244392505263157,22.244392505263157,68.96816307894737
Nandana B.O,360520,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Jamjodhpur,Jamnagar,GUJARAT,NA,Dhrafa S.O,Jamnagar H.O,70.105160725,22.003578125,22.003578125,70.105160725
Nandana B.O,361315,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Kalyanpur,Jamnagar,GUJARAT,NA,Bhatia S.O,Jamnagar H.O,69.27512252666666,22.03414318,22.03414318,69.27512252666666
Nanduri B.O,361170,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Lalpur,Jamnagar,GUJARAT,NA,Lalpur S.O (Jamnagar),Jamnagar H.O,69.963963,22.1915377,22.1915377,69.963963
Nani Vavdi B.O,361160,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Kalavad,Jamnagar,GUJARAT,NA,Kalavad S.O,Jamnagar H.O,70.36451397142858,22.2371925,22.2371925,70.36451397142858
Nanibhagedi B.O,361160,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Kalavad,Jamnagar,GUJARAT,NA,Kalavad S.O,Jamnagar H.O,70.36451397142858,22.2371925,22.2371925,70.36451397142858
Napania Khijadia B.O,361160,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Kalavad,Jamnagar,GUJARAT,NA,Kalavad S.O,Jamnagar H.O,70.36451397142858,22.2371925,22.2371925,70.36451397142858
Naranpur B.O,361012,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Jamnagar,Jamnagar,GUJARAT,NA,Chela S.O,Jamnagar H.O,118.09927763333333,24.487384366666667,24.487384366666667,118.09927763333333
Nathuvadala B.O,361210,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Dhrol,Jamnagar,GUJARAT,NA,Dhrol S.O,Jamnagar H.O,70.41547719,22.56701067,22.56701067,70.41547719
Navadra B.O,361315,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Kalyanpur,Jamnagar,GUJARAT,NA,Bhatia S.O,Jamnagar H.O,69.27512252666666,22.03414318,22.03414318,69.27512252666666
Navagam B.O,361160,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Kalavad,Jamnagar,GUJARAT,NA,Kalavad S.O,Jamnagar H.O,70.36451397142858,22.2371925,22.2371925,70.36451397142858
Navagam B.O,361006,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Jamnagar,Jamnagar,GUJARAT,NA,Khodiyar Colony S.O,Jamnagar H.O,70.03927083809523,22.454401119047617,22.454401119047617,70.03927083809523
Navagam B.O,360510,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Bhanvad,Jamnagar,GUJARAT,NA,Bhanvad S.O,Jamnagar H.O,69.76170183333333,21.929613386666666,21.929613386666666,69.76170183333333
Navagam Ghed B.O,361008,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Jamnagar,Jamnagar,GUJARAT,NA,Patel Colony S.O,Jamnagar H.O,118.17681508125,24.46485268125,24.46485268125,118.17681508125
Navanagna B.O,361007,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Jamnagar,Jamnagar,GUJARAT,NA,Gulabnagar S.O,Jamnagar H.O,NA,NA,NA,NA
New Super Market S.O,361001,S.O,Non-Delivery,Jamnagar,Rajkot,Gujarat,Kalavad,Jamnagar,GUJARAT,0288-2541093,NA,Jamnagar H.O,118.0722603,24.4539575,24.4539575,118.0722603
Nikava S.O,361162,S.O,Delivery,Jamnagar,Rajkot,Gujarat,Khambhalia,Jamnagar,GUJARAT,02894-274020,NA,Jamnagar H.O,70.50451875,22.2003008,22.2003008,70.50451875
Okha S.O,361350,S.O,Delivery,Jamnagar,Rajkot,Gujarat,Okhamandal,Jamnagar,GUJARAT,02892-262090,NA,Jamnagar H.O,69.0720534,22.47172965,22.47172965,69.0720534
Okhamadhi B.O,361335,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Okhamandal,Jamnagar,GUJARAT,NA,Dwarka S.O,Jamnagar H.O,68.96816307894737,22.244392505263157,22.244392505263157,68.96816307894737
Pachhtar B.O,360510,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Bhanvad,Jamnagar,GUJARAT,NA,Bhanvad S.O,Jamnagar H.O,69.76170183333333,21.929613386666666,21.929613386666666,69.76170183333333
Padana B.O,361280,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Lalpur,Jamnagar,GUJARAT,NA,Kanalush S.O,Jamnagar H.O,69.81930615,22.34465885,22.34465885,69.81930615
Padli B.O,361345,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Okhamandal,Jamnagar,GUJARAT,NA,Mithapur S.O (Jamnagar),Jamnagar H.O,69.03100532857142,22.406823057142855,22.406823057142855,69.03100532857142
Panch Hatdi Pedal B.O,361140,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Jamjodhpur,Jamnagar,GUJARAT,NA,Digvijaygram S.O,Jamnagar H.O,69.8359116,22.42731115,22.42731115,69.8359116
Panchdevda Mota B.O,361160,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Kalavad,Jamnagar,GUJARAT,NA,Kalavad S.O,Jamnagar H.O,70.36451397142858,22.2371925,22.2371925,70.36451397142858
Pancheshwar Tower Chowk S.O,361001,S.O,Non-Delivery,Jamnagar,Rajkot,Gujarat,Kalavad,Jamnagar,GUJARAT,0288-2675004,NA,Jamnagar H.O,118.0722603,24.4539575,24.4539575,118.0722603
Pata Meghpar B.O,361162,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Kalavad,Jamnagar,GUJARAT,NA,Nikava S.O,Jamnagar H.O,70.50451875,22.2003008,22.2003008,70.50451875
Patan B.O,360530,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Jamjodhpur,Jamnagar,GUJARAT,NA,Jamjodhpur S.O,Jamnagar H.O,70.03180655,21.8998151,21.8998151,70.03180655
Patel Colony S.O,361008,S.O,Delivery,Jamnagar,Rajkot,Gujarat,Jamnagar,Jamnagar,GUJARAT,0288-2756518,NA,Jamnagar H.O,118.17681508125,24.46485268125,24.46485268125,118.17681508125
Patelka B.O,361320,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Jamkalyanpur,Jamnagar,GUJARAT,NA,Jamkalyanpur S.O,Jamnagar H.O,69.42620502000001,22.07029074,22.07029074,69.42620502000001
Pavan Chakki S.O,361005,S.O,Non-Delivery,Jamnagar,Rajkot,Gujarat,Kalavad,Jamnagar,GUJARAT,0288-2675042,NA,Jamnagar H.O,118.086516,24.440372875,24.440372875,118.086516
Pindhara B.O,361315,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Kalyanpur,Jamnagar,GUJARAT,NA,Bhatia S.O,Jamnagar H.O,69.27512252666666,22.03414318,22.03414318,69.27512252666666
Pipar B.O,360540,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Kalavad,Jamnagar,GUJARAT,NA,Kharedi S.O,Jamnagar H.O,70.4807159,22.0704164,22.0704164,70.4807159
Pipartoda B.O,361012,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Jamnagar,Jamnagar,GUJARAT,NA,Chela S.O,Jamnagar H.O,118.09927763333333,24.487384366666667,24.487384366666667,118.09927763333333
Pipli B.O,361280,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Lalpur,Jamnagar,GUJARAT,NA,Kanalush S.O,Jamnagar H.O,69.81930615,22.34465885,22.34465885,69.81930615
Pithad B.O,361220,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Dhrol,Jamnagar,GUJARAT,NA,Latipur S.O,Jamnagar H.O,44.0926551,43.6157546,43.6157546,44.0926551
Pithadia B.O,361162,B.O,Delivery,Jamnagar,Rajkot,Gujarat,Kalavad,Jamnagar,GUJARAT,NA,Nikava S.O,Jamnagar H.O,70.50451875,22.2003008,22.2003008,70.50451875
